emp_no,first_name,last_name,title,to_date,dept_no,dept_name
11779,Shunichi,Thombley,Staff,9999-01-01,d008,Research
11810,Amabile,Bhattacharjee,Senior Engineer,9999-01-01,d005,Development
11829,Chaosheng,Pettis,Assistant Engineer,9999-01-01,d004,Production
11832,Arto,Zlotek,Engineer,9999-01-01,d005,Development
11836,Ortrud,Bakhtari,Senior Staff,9999-01-01,d008,Research
11853,Zeljko,Kusakabe,Senior Staff,9999-01-01,d001,Marketing
11864,Pradeep,Kriebel,Staff,9999-01-01,d009,Customer Service
11881,Arra,Staelin,Senior Staff,9999-01-01,d007,Sales
11888,Badri,Azulay,Senior Staff,9999-01-01,d001,Marketing
11897,Cordelia,Setlzner,Senior Staff,9999-01-01,d007,Sales
11911,Ashish,Mondadori,Senior Engineer,9999-01-01,d005,Development
11931,Gunilla,Chiodo,Senior Staff,9999-01-01,d008,Research
11944,Along,Aumann,Senior Engineer,9999-01-01,d006,Quality Management
11945,Limsoon,Marakhovsky,Staff,9999-01-01,d003,Human Resources
11948,Yahiko,Nergos,Senior Engineer,9999-01-01,d009,Customer Service
12007,Marko,Dehkordi,Senior Engineer,9999-01-01,d005,Development
12024,Mayumi,Lanzelotte,Staff,9999-01-01,d003,Human Resources
12028,Ingemar,Walstra,Senior Engineer,9999-01-01,d005,Development
12043,Masaki,Lubachevsky,Staff,9999-01-01,d008,Research
12093,Evgueni,Oxenboll,Senior Engineer,9999-01-01,d005,Development
12102,Aron,Erde,Staff,9999-01-01,d007,Sales
12140,Xudong,Paciorek,Senior Staff,9999-01-01,d003,Human Resources
12165,Xiaobin,Maquelin,Senior Engineer,9999-01-01,d005,Development
12186,Guther,Nooteboom,Senior Staff,9999-01-01,d009,Customer Service
12190,Abdulah,Engberts,Senior Engineer,9999-01-01,d005,Development
12213,Kwangho,Brizzi,Senior Staff,9999-01-01,d007,Sales
12219,Junsik,Gadepally,Senior Staff,9999-01-01,d008,Research
12230,Yuriy,Bellone,Engineer,9999-01-01,d005,Development
12247,Subbu,Penttonen,Technique Leader,9999-01-01,d005,Development
12249,Eldridge,Sadowski,Senior Engineer,9999-01-01,d005,Development
12269,Mohammed,Whitcomb,Senior Engineer,9999-01-01,d004,Production
12282,Tadahiro,Delgrange,Engineer,9999-01-01,d005,Development
12308,Mototsugu,Cronau,Senior Staff,9999-01-01,d003,Human Resources
12317,Weiyi,Crabtree,Staff,9999-01-01,d004,Production
12327,DAIDA,Bruckman,Senior Engineer,9999-01-01,d005,Development
12328,Atilio,Prampolini,Staff,9999-01-01,d003,Human Resources
12338,Kagan,Besselaar,Staff,9999-01-01,d002,Finance
12343,Sorina,Slaats,Senior Staff,9999-01-01,d009,Customer Service
12394,Stevo,Reeken,Engineer,9999-01-01,d006,Quality Management
12411,Shao,Ibel,Senior Staff,9999-01-01,d007,Sales
12426,Shahaf,Valtorta,Technique Leader,9999-01-01,d006,Quality Management
12450,Sanjeeva,Perng,Senior Engineer,9999-01-01,d005,Development
12468,Ioana,Baezner,Staff,9999-01-01,d003,Human Resources
12502,Danil,VanScheik,Senior Engineer,9999-01-01,d004,Production
12514,Tomofumi,Melter,Engineer,9999-01-01,d005,Development
12515,Pranav,Wilharm,Senior Engineer,9999-01-01,d004,Production
12528,Conor,Cincotta,Senior Staff,9999-01-01,d009,Customer Service
12541,Shih,Nanard,Senior Staff,9999-01-01,d007,Sales
12571,Abdelaziz,Candan,Engineer,9999-01-01,d004,Production
12586,Oguz,Tasistro,Senior Engineer,9999-01-01,d006,Quality Management
12589,Anoosh,Chleq,Senior Engineer,9999-01-01,d005,Development
12597,Kazuhito,Petereit,Senior Staff,9999-01-01,d009,Customer Service
12635,Xinyu,Restivo,Senior Engineer,9999-01-01,d009,Customer Service
12639,Zeljko,Schapire,Senior Engineer,9999-01-01,d004,Production
12644,Bernt,Jayawardene,Senior Engineer,9999-01-01,d004,Production
12651,Pragnesh,Bael,Senior Staff,9999-01-01,d007,Sales
12662,Leucio,Alvarado,Engineer,9999-01-01,d005,Development
12664,Zhonghua,Parveen,Staff,9999-01-01,d009,Customer Service
12670,Seongbae,Alameldin,Engineer,9999-01-01,d004,Production
12691,Oddvar,Gils,Senior Engineer,9999-01-01,d004,Production
12732,Mara,Takanami,Senior Staff,9999-01-01,d007,Sales
12734,Gil,Frijda,Senior Engineer,9999-01-01,d005,Development
12753,Kazuhito,Syrotiuk,Senior Engineer,9999-01-01,d004,Production
12773,Jenwei,Lovengreen,Senior Engineer,9999-01-01,d005,Development
12774,Moon,Asrin,Engineer,9999-01-01,d005,Development
12795,Masoud,Fordan,Senior Staff,9999-01-01,d002,Finance
12798,Lillian,Beeson,Senior Staff,9999-01-01,d007,Sales
12803,Gad,Boissier,Senior Staff,9999-01-01,d007,Sales
12821,Arco,Gihr,Engineer,9999-01-01,d005,Development
12840,Zhensheng,Ferretti,Engineer,9999-01-01,d005,Development
12857,Alagu,Gils,Senior Engineer,9999-01-01,d005,Development
12865,Katsuyuki,Rothe,Senior Staff,9999-01-01,d008,Research
12868,Berthier,Nanard,Senior Engineer,9999-01-01,d006,Quality Management
12869,Jacopo,Swiler,Staff,9999-01-01,d008,Research
12885,Anwar,Collavizza,Senior Engineer,9999-01-01,d008,Research
12889,Mayumi,Mukaidono,Engineer,9999-01-01,d005,Development
12895,Roddy,Serot,Senior Engineer,9999-01-01,d004,Production
12926,Heekeun,Luby,Senior Staff,9999-01-01,d008,Research
12962,Paraskevi,Beerel,Senior Staff,9999-01-01,d007,Sales
12982,Sachem,Aamodt,Senior Engineer,9999-01-01,d005,Development
12986,Khun,Hennebert,Senior Engineer,9999-01-01,d004,Production
13004,Fan,Beznosov,Senior Engineer,9999-01-01,d004,Production
13013,Heekeun,Baak,Engineer,9999-01-01,d004,Production
13048,Kerhong,Massonet,Senior Engineer,9999-01-01,d005,Development
13052,Aleksandar,Schlenzig,Senior Engineer,9999-01-01,d005,Development
13054,Samphel,Masamoto,Senior Engineer,9999-01-01,d004,Production
13103,Srinidhi,Ellozy,Senior Engineer,9999-01-01,d005,Development
13144,Persi,Nollmann,Senior Staff,9999-01-01,d002,Finance
13156,Akeel,Millington,Senior Engineer,9999-01-01,d005,Development
13200,Weidon,Pauthner,Senior Engineer,9999-01-01,d004,Production
13216,Stabislas,Weedman,Staff,9999-01-01,d009,Customer Service
13227,Goncalo,Pell,Staff,9999-01-01,d007,Sales
13246,Adil,Siepmann,Staff,9999-01-01,d007,Sales
13288,Muneo,Broomell,Senior Staff,9999-01-01,d003,Human Resources
13291,Georg,Stamatiou,Senior Engineer,9999-01-01,d005,Development
13303,Koldo,Rissanen,Staff,9999-01-01,d007,Sales
13343,Heon,Usery,Senior Staff,9999-01-01,d002,Finance
13378,Rafols,Zhiwei,Technique Leader,9999-01-01,d005,Development
13386,Khosrow,Sgarro,Technique Leader,9999-01-01,d005,Development
13396,Chuanyi,Aumann,Senior Staff,9999-01-01,d009,Customer Service
13412,Ranga,Erdmenger,Staff,9999-01-01,d003,Human Resources
13422,Vishwani,Gerlach,Senior Engineer,9999-01-01,d004,Production
13451,Gretta,Weiland,Senior Staff,9999-01-01,d003,Human Resources
13475,Kamakshi,Piancastelli,Senior Staff,9999-01-01,d007,Sales
13520,Takahiro,Mahnke,Senior Engineer,9999-01-01,d004,Production
13522,Jaewon,Vingron,Senior Staff,9999-01-01,d001,Marketing
13523,Dines,Karunanithi,Staff,9999-01-01,d009,Customer Service
13549,Matk,Koprowski,Technique Leader,9999-01-01,d005,Development
13596,Georg,Marletta,Senior Engineer,9999-01-01,d004,Production
13624,Zhigen,Yurek,Senior Staff,9999-01-01,d003,Human Resources
13662,Tianruo,Zucker,Senior Staff,9999-01-01,d008,Research
13713,Nitsan,Porenta,Senior Staff,9999-01-01,d003,Human Resources
13721,Sugwoo,Delgrossi,Senior Staff,9999-01-01,d007,Sales
13727,Vitali,Merey,Staff,9999-01-01,d003,Human Resources
13766,Tremaine,Heemskerk,Senior Staff,9999-01-01,d009,Customer Service
13786,Takushi,Berendt,Senior Staff,9999-01-01,d007,Sales
13787,Xiaobin,Sinicrope,Senior Engineer,9999-01-01,d004,Production
13799,Chriss,Backhouse,Technique Leader,9999-01-01,d006,Quality Management
13800,Nikolaus,Gammage,Technique Leader,9999-01-01,d006,Quality Management
13841,Christophe,Spinelli,Technique Leader,9999-01-01,d004,Production
13846,Guiseppe,Welham,Senior Staff,9999-01-01,d008,Research
13853,Mingsen,Roohalamini,Senior Staff,9999-01-01,d008,Research
13856,Xiping,Conta,Senior Staff,9999-01-01,d007,Sales
13859,Anoosh,Fujisawa,Senior Engineer,9999-01-01,d005,Development
13870,Theirry,Kirkerud,Engineer,9999-01-01,d004,Production
13888,Xuedong,Reghbati,Engineer,9999-01-01,d005,Development
13894,Ult,Schonegge,Engineer,9999-01-01,d004,Production
13913,Xinan,Yoshizawa,Technique Leader,9999-01-01,d004,Production
13919,Brewster,Sinicrope,Engineer,9999-01-01,d009,Customer Service
13944,Takahito,Maierhofer,Senior Engineer,9999-01-01,d005,Development
13972,Seongbin,Walston,Technique Leader,9999-01-01,d005,Development
13990,Deborah,Schapiro,Engineer,9999-01-01,d005,Development
13999,Florian,Crouzet,Senior Staff,9999-01-01,d003,Human Resources
14011,Katsuo,Peris,Engineer,9999-01-01,d005,Development
14012,Yishai,Hanratty,Senior Engineer,9999-01-01,d005,Development
14015,Manibrata,Picaronny,Senior Engineer,9999-01-01,d004,Production
14034,Aloys,Seghrouchni,Senior Staff,9999-01-01,d002,Finance
14051,Constantijn,Sullins,Senior Engineer,9999-01-01,d005,Development
14058,Huai,Kobara,Senior Engineer,9999-01-01,d004,Production
14066,Gennadi,Marrakchi,Staff,9999-01-01,d007,Sales
14093,Atreye,Ritzmann,Technique Leader,9999-01-01,d005,Development
14130,Yuuichi,Stroustrup,Staff,9999-01-01,d001,Marketing
14172,Vasilis,Nitsch,Senior Staff,9999-01-01,d007,Sales
14191,Jiann,Luby,Senior Engineer,9999-01-01,d005,Development
14200,Masali,Sankaranarayanan,Senior Staff,9999-01-01,d001,Marketing
14220,Tomofumi,Pargas,Senior Engineer,9999-01-01,d004,Production
14236,Xuedong,Angiulli,Senior Staff,9999-01-01,d008,Research
14252,Weiyi,Fargier,Staff,9999-01-01,d007,Sales
14257,Kwok,Massonet,Staff,9999-01-01,d004,Production
14281,Hidekazu,Stavenow,Senior Engineer,9999-01-01,d004,Production
14322,Shem,Kakkad,Engineer,9999-01-01,d005,Development
14323,Golgen,Leslie,Staff,9999-01-01,d009,Customer Service
14331,Susumu,Plessier,Senior Engineer,9999-01-01,d005,Development
14342,Hairong,Iacovou,Senior Engineer,9999-01-01,d005,Development
14364,Remzi,Lund,Senior Staff,9999-01-01,d007,Sales
14370,Heon,Perl,Senior Staff,9999-01-01,d003,Human Resources
14372,Saniya,Srimani,Engineer,9999-01-01,d005,Development
14388,Arch,Remmers,Senior Staff,9999-01-01,d001,Marketing
14411,Hiroyasu,Validov,Technique Leader,9999-01-01,d005,Development
14478,Munehiro,Boissier,Senior Staff,9999-01-01,d007,Sales
14481,Moti,Lammel,Senior Engineer,9999-01-01,d004,Production
14486,Indrajit,Birdsall,Senior Engineer,9999-01-01,d004,Production
14501,Taizo,Kroft,Technique Leader,9999-01-01,d004,Production
14515,Kazuhisa,Versino,Senior Engineer,9999-01-01,d006,Quality Management
14524,Nobuyoshi,Trogemann,Staff,9999-01-01,d007,Sales
14560,Elrique,Driscoll,Senior Engineer,9999-01-01,d005,Development
14600,Jayson,Cairo,Senior Staff,9999-01-01,d009,Customer Service
14611,Marsja,Coors,Staff,9999-01-01,d007,Sales
14640,Toshimori,Kornatzky,Senior Engineer,9999-01-01,d005,Development
14659,Sashi,Adachi,Senior Engineer,9999-01-01,d006,Quality Management
14668,Weicheng,Covnot,Senior Engineer,9999-01-01,d006,Quality Management
14676,Bikash,Zedlitz,Senior Staff,9999-01-01,d007,Sales
14692,Annemarie,Lamba,Senior Engineer,9999-01-01,d004,Production
14693,Brewster,Stranks,Senior Staff,9999-01-01,d009,Customer Service
14746,Uri,Baalen,Senior Engineer,9999-01-01,d004,Production
14752,Mariusz,Azuma,Senior Engineer,9999-01-01,d005,Development
14761,Yunming,Rettelbach,Senior Staff,9999-01-01,d007,Sales
14763,Ayakannu,Hedayat,Senior Engineer,9999-01-01,d004,Production
14780,Marlo,Bruckman,Senior Engineer,9999-01-01,d004,Production
14791,Magy,Garrabrants,Assistant Engineer,9999-01-01,d005,Development
14818,Wayne,Falco,Senior Engineer,9999-01-01,d004,Production
14837,Perry,Cappello,Senior Staff,9999-01-01,d007,Sales
14839,Changho,Cronin,Senior Engineer,9999-01-01,d005,Development
14853,Taiji,Nergos,Senior Engineer,9999-01-01,d005,Development
14885,Mansur,Thisen,Technique Leader,9999-01-01,d006,Quality Management
14888,Temple,Barriga,Senior Staff,9999-01-01,d007,Sales
14908,Kerhong,Flanders,Senior Engineer,9999-01-01,d005,Development
14911,Xiaobin,Chelton,Senior Engineer,9999-01-01,d004,Production
14915,Huican,Picco,Engineer,9999-01-01,d004,Production
14925,Stabislas,Peternell,Engineer,9999-01-01,d006,Quality Management
14941,Nathan,Lichtner,Senior Engineer,9999-01-01,d005,Development
14949,Insup,Reinhart,Senior Engineer,9999-01-01,d004,Production
14973,Fumitaka,Schaad,Staff,9999-01-01,d007,Sales
15004,Muneo,Esteva,Engineer,9999-01-01,d005,Development
15025,Vincent,Lagarias,Senior Staff,9999-01-01,d009,Customer Service
15043,Christoph,Ventosa,Senior Staff,9999-01-01,d007,Sales
15069,Manton,Siksek,Technique Leader,9999-01-01,d004,Production
15075,Radoslaw,Rijsenbrij,Senior Engineer,9999-01-01,d004,Production
15089,Giri,Coney,Senior Engineer,9999-01-01,d005,Development
15094,Seongbae,Bottner,Staff,9999-01-01,d001,Marketing
15102,Luigi,Axelband,Senior Engineer,9999-01-01,d004,Production
15134,Arun,Luiz,Senior Staff,9999-01-01,d007,Sales
15136,Eckart,Waeselynck,Staff,9999-01-01,d002,Finance
15216,Zhenhua,Wiegley,Senior Staff,9999-01-01,d001,Marketing
15248,Edwin,Baar,Senior Staff,9999-01-01,d001,Marketing
15263,Sanjeeva,Loncour,Senior Staff,9999-01-01,d007,Sales
15365,Mikhail,Schiettecatte,Senior Engineer,9999-01-01,d005,Development
15369,Premal,Penttonen,Staff,9999-01-01,d007,Sales
15374,Jiang,Hiroyama,Senior Staff,9999-01-01,d003,Human Resources
15382,Alassane,Siegrist,Senior Staff,9999-01-01,d007,Sales
15395,Monique,Jakobus,Senior Staff,9999-01-01,d009,Customer Service
15406,Sariel,Sooriamurthi,Senior Engineer,9999-01-01,d005,Development
15422,Vesna,Wolniewicz,Senior Engineer,9999-01-01,d005,Development
15470,Weiwu,Huhdanpaa,Engineer,9999-01-01,d004,Production
15489,Ayonca,Maksimenko,Staff,9999-01-01,d007,Sales
15525,Masadi,Cherinka,Senior Engineer,9999-01-01,d005,Development
15563,Constantino,Zykh,Senior Staff,9999-01-01,d009,Customer Service
15582,Tuval,Alpay,Engineer,9999-01-01,d004,Production
15603,Woody,Hooghiemstra,Senior Engineer,9999-01-01,d004,Production
15637,Vincent,Barinka,Senior Staff,9999-01-01,d002,Finance
15638,Basil,Perez,Senior Staff,9999-01-01,d002,Finance
15650,Pascal,Bail,Senior Engineer,9999-01-01,d004,Production
15656,Mohammad,Schaaf,Senior Staff,9999-01-01,d001,Marketing
15662,Shooichi,Danner,Staff,9999-01-01,d004,Production
15664,Bangqing,Ertl,Assistant Engineer,9999-01-01,d005,Development
15668,Zito,Juneja,Senior Engineer,9999-01-01,d005,Development
15714,Troy,Bala,Engineer,9999-01-01,d004,Production
15717,Yuchang,Rabehasaina,Senior Staff,9999-01-01,d001,Marketing
15733,Amalendu,Lipner,Senior Staff,9999-01-01,d009,Customer Service
15744,Udaiprakash,Solovay,Senior Engineer,9999-01-01,d004,Production
15750,Arumugam,Bresenham,Senior Engineer,9999-01-01,d004,Production
15763,Barun,Narahari,Senior Staff,9999-01-01,d007,Sales
15778,Arra,Haumacher,Senior Staff,9999-01-01,d003,Human Resources
15788,Taegyun,Deyuan,Senior Engineer,9999-01-01,d004,Production
15799,Manton,Gelosh,Senior Staff,9999-01-01,d007,Sales
15812,Luise,Braunmuhl,Senior Staff,9999-01-01,d007,Sales
15847,Shawna,Gniady,Staff,9999-01-01,d008,Research
15855,Xiaoqiu,Brookman,Senior Staff,9999-01-01,d004,Production
15861,Gio,Anido,Senior Staff,9999-01-01,d001,Marketing
15866,Angel,Seiwald,Senior Engineer,9999-01-01,d004,Production
15876,Munehiro,Vakili,Senior Engineer,9999-01-01,d005,Development
15905,DeForest,Petersohn,Senior Engineer,9999-01-01,d004,Production
15911,Shaibal,Viele,Senior Engineer,9999-01-01,d009,Customer Service
15918,Kotesh,Plesums,Senior Staff,9999-01-01,d007,Sales
15938,Garnik,Covnot,Senior Staff,9999-01-01,d007,Sales
15941,Dekang,Nourani,Senior Engineer,9999-01-01,d005,Development
15945,Hauke,Larfeldt,Senior Engineer,9999-01-01,d004,Production
15993,Yoshimitsu,Peir,Senior Engineer,9999-01-01,d005,Development
16000,Marek,Demos,Senior Engineer,9999-01-01,d004,Production
16005,Udo,Sundgren,Senior Staff,9999-01-01,d007,Sales
16025,Doowon,Luce,Senior Engineer,9999-01-01,d005,Development
16028,JiYoung,Takkinen,Senior Engineer,9999-01-01,d004,Production
16052,Maria,Rodham,Senior Engineer,9999-01-01,d005,Development
16066,Marsha,Penn,Senior Staff,9999-01-01,d007,Sales
16068,Leandro,Zongker,Senior Staff,9999-01-01,d002,Finance
16077,Kannan,Heemskerk,Senior Engineer,9999-01-01,d005,Development
16093,Luise,Tramer,Engineer,9999-01-01,d004,Production
16109,Mooi,Serna,Senior Engineer,9999-01-01,d005,Development
16134,Annemarie,Chaudhuri,Senior Engineer,9999-01-01,d005,Development
16138,Leucio,Krzyzanowski,Senior Staff,9999-01-01,d001,Marketing
16149,Ennio,Luit,Senior Staff,9999-01-01,d007,Sales
16165,Shuzo,Cronau,Assistant Engineer,9999-01-01,d004,Production
16175,Amabile,Baik,Staff,9999-01-01,d007,Sales
16201,Krassimir,Olano,Technique Leader,9999-01-01,d005,Development
16215,Duri,Eiron,Senior Staff,9999-01-01,d007,Sales
16224,Honesty,Slobodova,Staff,9999-01-01,d007,Sales
16238,Takahiro,Kopetz,Staff,9999-01-01,d001,Marketing
16257,Zhenhua,Masaki,Senior Staff,9999-01-01,d007,Sales
16266,Mikhail,Sethi,Senior Staff,9999-01-01,d007,Sales
16329,Yucel,Melter,Senior Engineer,9999-01-01,d004,Production
16377,Duri,Stanger,Engineer,9999-01-01,d004,Production
16383,Lidong,Czap,Senior Engineer,9999-01-01,d004,Production
16384,Dmitry,Heuser,Senior Engineer,9999-01-01,d006,Quality Management
16388,Subhankar,Georgatos,Senior Staff,9999-01-01,d009,Customer Service
16447,Zhiguo,Savasere,Senior Engineer,9999-01-01,d004,Production
16484,Remko,Redmiles,Senior Staff,9999-01-01,d009,Customer Service
16491,Emdad,Radwan,Senior Staff,9999-01-01,d009,Customer Service
16499,Aran,Legleitner,Engineer,9999-01-01,d004,Production
16526,Saeko,Coorg,Engineer,9999-01-01,d005,Development
16537,Weidon,Seiwald,Senior Engineer,9999-01-01,d005,Development
16551,Sadegh,Ranon,Senior Engineer,9999-01-01,d008,Research
16580,Masaru,Valiente,Senior Engineer,9999-01-01,d006,Quality Management
16636,Ulf,Luan,Engineer,9999-01-01,d005,Development
16644,Saniya,Yoshimura,Senior Engineer,9999-01-01,d005,Development
16658,Florian,Soicher,Senior Staff,9999-01-01,d008,Research
16678,Gill,Lenart,Senior Engineer,9999-01-01,d006,Quality Management
16692,Maria,Perelgut,Engineer,9999-01-01,d005,Development
16695,Chaosheng,Thiran,Staff,9999-01-01,d009,Customer Service
16698,Udaiprakash,Decleir,Engineer,9999-01-01,d004,Production
16716,Ramachenga,Zumaque,Engineer,9999-01-01,d005,Development
16759,Vojin,Masaki,Senior Engineer,9999-01-01,d008,Research
16766,Vatsa,Brendel,Senior Engineer,9999-01-01,d004,Production
16772,Baruch,Giveon,Senior Staff,9999-01-01,d007,Sales
16776,Gil,Azevdeo,Senior Staff,9999-01-01,d009,Customer Service
16806,Sreekrishna,Dayana,Senior Staff,9999-01-01,d009,Customer Service
16859,Chikara,Heping,Senior Staff,9999-01-01,d002,Finance
16896,Taisook,Bazzichi,Senior Engineer,9999-01-01,d005,Development
16921,Evgueni,Yeung,Senior Staff,9999-01-01,d007,Sales
16933,Lokesh,Pardalos,Staff,9999-01-01,d001,Marketing
16934,Collette,Sanella,Engineer,9999-01-01,d005,Development
16979,Xiaoqiu,Preusig,Engineer,9999-01-01,d005,Development
16986,Hirochika,Gecseg,Senior Engineer,9999-01-01,d004,Production
16988,Xiong,Peron,Senior Staff,9999-01-01,d002,Finance
16999,Bezalel,Sadowsky,Senior Staff,9999-01-01,d008,Research
17041,Nishit,Montemayor,Senior Staff,9999-01-01,d009,Customer Service
17063,Anoosh,Thiran,Senior Staff,9999-01-01,d007,Sales
17081,Weiru,Murtafg,Senior Engineer,9999-01-01,d006,Quality Management
17085,Ramzi,Litvinov,Senior Engineer,9999-01-01,d005,Development
17120,Yifei,Polupanov,Senior Staff,9999-01-01,d003,Human Resources
17126,Matk,Schapire,Senior Staff,9999-01-01,d009,Customer Service
